baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,1,32,56376.755528,56376895664,943242,1061138267524,0.050698,12809256256,1064366485173
FALCON,2,32,86458.690179,43232937225,885059,1194323852935,0.103214,13266742432,1196889493267
FALCON,4,32,105552.113702,26424476473,788143,835161774549,0.191197,14808690944,836726265693
FALCON,8,32,129645.135876,16247089403,665180,515301468650,0.304713,16308188992,516577091877
FALCON,16,32,157819.874184,9873262967,549140,312904413113,0.413603,13850156448,313810119184
FALCON,32,32,169364.922461,5300493944,463473,167509634583,0.495932,14251777984,168136929574
FALCON,64,32,231975.400653,3636871913,411465,114402928021,0.547806,17581745216,114915564711
FALCON,128,32,341860.251439,2679626072,381662,83263827138,0.581710,191532272672,83640318817
FALCON,1,64,55910.345512,55910468696,999973,1644092837478,0.000026,16546500224,1647947568092
FALCON,2,64,72146.553527,36079863397,946252,1387490630139,0.048073,25002074624,1390119041694
FALCON,4,64,105846.648927,26534075748,897164,1503205652951,0.092299,30853965632,1505946315123
FALCON,8,64,140068.895443,17513513938,789994,1109018708990,0.189447,30434179648,1110509580349
FALCON,16,64,165794.362974,10376133044,664595,659824977226,0.305124,28074043072,660834600606
FALCON,32,64,205036.412020,6414005921,549661,407358487771,0.413161,30541138752,408185663563
FALCON,64,64,270720.816895,4237227962,463693,268635979807,0.495880,48392067904,269282212317
FALCON,128,64,409533.767393,3225190149,416957,202854900775,0.543016,253270138560,203392766226
FALCON,1,128,43309.063804,43309206271,1000000,1698622800995,0.000000,22911306112,1701278024916
FALCON,2,128,72045.867616,36023712273,1000000,2430022095143,0.000000,34990389760,2432799394814
FALCON,4,128,132347.614698,33088594725,978442,3093637487257,0.019158,28159046016,3095174068152
FALCON,8,128,200517.591500,25103425713,900792,2937625647260,0.088809,66232254080,2940426426255
FALCON,16,128,258609.164351,16169929504,788734,2049604624308,0.190499,54503694592,2051091406684
